1	3545
2	3540
3	3605
4	3620
5	3640
6	3625
7	3710
8	3850
9	3700
10	3695
11	3665
12	3675
13	3600
14	3560
15	3600
16	3630
17	3635
18	3675
19	3660
20	3665
21	3695
22	3650
23	3570
24	3585
25	3645
26	3575
27	3605
28	3590
29	3510
30	3480
31	3400
32	3340
33	3265
34	3295
35	3275
36	3240
37	3220
38	3255
39	3295
40	3340
41	3335
42	3205
43	3235
44	3220
45	3240
46	3240
47	3255
48	3260
49	3240
50	3300
51	3360
52	3360
53	3385
54	3380
55	3310
56	3265
57	3280
58	3250
59	3290
60	3330
61	3330
62	3340
63	3350
64	3250
65	3210
66	3235
67	3235
68	3270
69	3270
70	3220
71	3115
72	3110
73	3120
74	3105
75	3125
76	3130
77	3100
78	3110
79	3125
80	3125
81	3105
82	3075
83	3060
84	3075
85	3090
86	3095
87	3140
88	3110
89	3110
90	3115
91	3130
92	3130
93	3125
94	3090
95	3060
96	3070
97	3110
98	3085
99	3125
100	3185
101	3205
102	3185
103	3150
104	3130
105	3110
106	3095
107	3110
108	3110
109	3055
110	3090
111	3050
112	3060
113	3065
114	3060
115	3055
116	3055
117	3025
118	3065
119	3080
120	3130
121	3175
122	3140
123	3145
124	3100
125	3085
126	3075
127	3060
128	3040
129	3010
130	3040
131	2990
132	2969
133	2985
134	2945
135	2935
136	2935
137	2951
138	2935
139	2913
140	2919
141	2888
142	2871
143	2897
144	2880
145	2896
146	2860
147	2883
148	2895
149	2911
150	2926
151	2944
152	2942
153	3005
154	3010
155	3010
156	2936
157	2942
158	3010
159	3115
160	3120
161	3125
162	3115
163	3150
164	3185
165	3195
166	3160
167	3140
168	3200
169	3165
170	3135
171	3155
172	3135
173	3115
174	3110
175	3040
176	3020
177	3015
178	2971
179	2946
180	2945
181	2928
182	2927
183	2882
184	2851
185	2826
186	2825
187	2824
188	2801
189	2782
190	2745
191	2737
192	2737
193	2731
194	2725
195	2720
196	2729
197	2735
198	2722
199	2734
200	2727
201	2733
202	2731
203	2727
204	2720
205	2737
206	2699
207	2694
208	2686
209	2704
210	2722
211	2731
212	2745
213	2748
214	2740
215	2738
216	2742
217	2730
218	2711
219	2725
220	2722
221	2734
222	2729
223	2731
224	2733
225	2715
226	2726
227	2729
228	2727
229	2744
230	2696
231	2667
232	2661
233	2663
234	2665
235	2665
236	2678
237	2697
238	2703
239	2718
240	2705
241	2687
242	2677
243	2659
244	2662
245	2643
246	2651
247	2632
248	2633
249	2638
250	2627
	
